token	zipf
Stunden	5.360
daran	5.360
stunden	5.360
nacht	5.360
Halt	5.360
Daran	5.360
thema	5.360
NEU	5.360
Beispiel	5.350
genug	5.350
beispiel	5.350
Genug	5.350
halten	5.340
dessen	5.340
schule	5.340
zeigt	5.340
kleinen	5.340
direkt	5.340
Schule	5.340
allein	5.340
echt	5.340
solche	5.340
Direkt	5.340
Allein	5.340
Kleinen	5.340
Solche	5.340
Echt	5.340
Halten	5.340
Dessen	5.340
essen	5.330
lang	5.330
USA	5.330
anders	5.330
Lang	5.330
Essen	5.330
usa	5.330
Anders	5.330
H	5.320
h	5.320
Pro	5.320
pro	5.320
Wasser	5.320
Musik	5.320
ebenfalls	5.320
hinter	5.320
Abend	5.320
Mag	5.320
wasser	5.320
Hinter	5.320
eher	5.320
abend	5.320
mag	5.320
Dank	5.320
musik	5.320
dank	5.320
Ebenfalls	5.320
PRO	5.320
Eher	5.320
ort	5.310
Ort	5.310
alten	5.310
erhalten	5.310
zweiten	5.310
bald	5.310
nachdem	5.310
sofort	5.310
Zweiten	5.310
junge	5.310
Nachdem	5.310
Alten	5.310
lieber	5.310
Junge	5.310
Bald	5.310
Sofort	5.310
ORT	5.310
Lieber	5.310
us	5.300
US	5.300
dr	5.300
aller	5.300
Hand	5.300
hand	5.300
deutlich	5.300
Auto	5.300
unserer	5.300
bringen	5.300
Dr	5.300
Kopf	5.300
danach	5.300
DR	5.300
jede	5.300
Danach	5.300
finde	5.300
kopf	5.300
Jede	5.300
Aller	5.300
Us	5.300
auto	5.300
Bringen	5.300
Deutlich	5.300
eu	5.290
Person	5.290
EU	5.290
schwer	5.290
wichtig	5.290
gilt	5.290
gefunden	5.290
damals	5.290
zeigen	5.290
Schwer	5.290
endlich	5.290
person	5.290
Wichtig	5.290
Damals	5.290
Eu	5.290
Endlich	5.290
R	5.280
r	5.280
Hoch	5.280
hoch	5.280
stark	5.280
Gesellschaft	5.280
letzte	5.280
gesellschaft	5.280
egal	5.280
Letzte	5.280
Egal	5.280
Stark	5.280
rund	5.270
alter	5.270
Anfang	5.270
Alter	5.270
Kind	5.270
oben	5.270
SPD	5.270
Rund	5.270
kind	5.270
strasse	5.270
anfang	5.270
Strasse	5.270
Oben	5.270
los	5.260
Gott	5.260
Europa	5.260
bekannt	5.260
Wochen	5.260
Mutter	5.260
bisher	5.260
Eltern	5.260
Los	5.260
Bekannt	5.260
gott	5.260
mutter	5.260
Bisher	5.260
europa	5.260
wochen	5.260
eltern	5.260
EUROPA	5.260
GOtt	5.260
LOS	5.260
is	5.250
her	5.250
Her	5.250
Millionen	5.250
IS	5.250
Is	5.250
Gruppe	5.250
meisten	5.250
gruppe	5.250
Augen	5.250
treffen	5.250
beste	5.250
braucht	5.250
denke	5.250
Treffen	5.250
trotzdem	5.250
schreiben	5.250
Schreiben	5.250
Beste	5.250
Trotzdem	5.250
augen	5.250
HEr	5.250
HER	5.250
Braucht	5.250
Herr	5.240
Artikel	5.240
Politik	5.240
mehrere	5.240
Hilfe	5.240
Folge	5.240
folge	5.240
politik	5.240
hilfe	5.240
leicht	5.240
bestimmt	5.240
Sache	5.240
scheint	5.240
Deutsch	5.240
herr	5.240
deutsch	5.240
niemand	5.240
HERR	5.240
Leicht	5.240
artikel	5.240
Niemand	5.240
sache	5.240
Mehrere	5.240
HErr	5.240
POLITIK	5.240
stellt	5.230
oh	5.230
Film	5.230
Personen	5.230
Team	5.230
Regierung	5.230
richtung	5.230
Richtung	5.230
fand	5.230
Oh	5.230
laut	5.230
Internet	5.230
Bayern	5.230
alte	5.230
film	5.230
regierung	5.230
denken	5.230
lesen	5.230
Laut	5.230
bisschen	5.230
team	5.230
Lesen	5.230
personen	5.230
Alte	5.230
bayern	5.230
Denken	5.230
OH	5.230
schliesslich	5.230
internet	5.230
Stellt	5.230
L	5.220
V	5.220
l	5.220
v	5.220
and	5.220
Prozent	5.220
wort	5.220
Buch	5.220
II	5.220
Sohn	5.220
stelle	5.220
buch	5.220
Wort	5.220
geworden	5.220
Stelle	5.220
Dinge	5.220
ii	5.220
And	5.220
AND	5.220
sohn	5.220
O	5.210
o	5.210
Bereich	5.210
bereich	5.210
besteht	5.210
Vater	5.210
Zukunft	5.210
Mensch	5.210
bringt	5.210
mensch	5.210
Ernst	5.210
ernst	5.210
vater	5.210
Gross	5.210
gross	5.210
Bringt	5.210
BEREICH	5.210
all	5.200
form	5.200
fahren	5.200
fest	5.200
Frei	5.200
frei	5.200
Fest	5.200
Form	5.200
All	5.200
liegen	5.200
eigene	5.200
jedes	5.200
passiert	5.200
Idee	5.200
neues	5.200
keiner	5.200
darum	5.200
Jedes	5.200
Neues	5.200
ALL	5.200
Darum	5.200
Fahren	5.200
Keiner	5.200
Liegen	5.200
idee	5.200
FREI	5.200
FORM	5.200
T	5.190
t	5.190
wert	5.190
Wahl	5.190
wahl	5.190
Wien	5.190
Wert	5.190
bevor	5.190
gegeben	5.190
Hamburg	5.190
raus	5.190
tut	5.190
jedem	5.190
Super	5.190
manchmal	5.190
Tut	5.190
super	5.190
Manchmal	5.190
Bevor	5.190
Raus	5.190
folgen	5.180
Entwicklung	5.180
Ziel	5.180
weiteren	5.180
Kosten	5.180
kosten	5.180
helfen	5.180
einzige	5.180
suchen	5.180
Folgen	5.180
obwohl	5.180
Freunde	5.180
entwicklung	5.180
ziemlich	5.180
sehe	5.180
Obwohl	5.180
Weiteren	5.180
ziel	5.180
freunde	5.180
Einzige	5.180
Suchen	5.180
Helfen	5.180
Ziemlich	5.180
ENTWICKLUNG	5.180
lage	5.170
September	5.170
Mai	5.170
to	5.170
erfolg	5.170
voll	5.170
ca	5.170
Krieg	5.170
krieg	5.170
Lage	5.170
Erfolg	5.170
Probleme	5.170
Hause	5.170
dadurch	5.170
Voll	5.170
Angst	5.170
To	5.170
verstehen	5.170
wann	5.170
Ca	5.170
Wieso	5.170
hause	5.170
Wann	5.170
Dadurch	5.170
TO	5.170
wieso	5.170
probleme	5.170
CA	5.170
angst	5.170
Verstehen	5.170
alt	5.160
ok	5.160
Tod	5.160
Preis	5.160
insgesamt	5.160
innerhalb	5.160
Rolle	5.160
konnten	5.160
Alt	5.160
aufgrund	5.160
zudem	5.160
rein	5.160
nimmt	5.160
preis	5.160
Tagen	5.160
brauchen	5.160
Rein	5.160
rolle	5.160
klasse	5.160
Klasse	5.160
Zudem	5.160
Insgesamt	5.160
stimmt	5.160
AfD	5.160
Ok	5.160
Aufgrund	5.160
OK	5.160
Innerhalb	5.160
Stimmt	5.160
tagen	5.160
tod	5.160
INSGESAMT	5.160
ach	5.150
na	5.150
Kirche	5.150
verschiedenen	5.150
seines	5.150
trotz	5.150
meist	5.150
gekommen	5.150
kirche	5.150
zahlen	5.150
vorbei	5.150
Na	5.150
CDU	5.150
Ach	5.150
Zahlen	5.150
gern	5.150
vergessen	5.150
Trotz	5.150
gestern	5.150
NA	5.150
ACH	5.150
irgendwie	5.150
ausser	5.150
Gestern	5.150
Vergessen	5.150
Gern	5.150
Meist	5.150
Ausser	5.150
Irgendwie	5.150
nA	5.150
W	5.140
w	5.140
Partei	5.140
blick	5.140
Seiten	5.140
Name	5.140
wobei	5.140
zweite	5.140
Blick	5.140
ebenso	5.140
dagegen	5.140
seiten	5.140
name	5.140
reden	5.140
willst	5.140
Meinung	5.140
anderes	5.140
lernen	5.140
deinen	5.140
kaufen	5.140
Willst	5.140
Lernen	5.140
partei	5.140
Ebenso	5.140
Zweite	5.140
Reden	5.140
Dagegen	5.140
Deinen	5.140
Wobei	5.140
X	5.130
x	5.130
sechs	5.130
spiele	5.130
spielt	5.130
Spiele	5.130
sprechen	5.130
jungen	5.130
Video	5.130
Moment	5.130
schlecht	5.130
Jungen	5.130
video	5.130
Sechs	5.130
moment	5.130
Sprechen	5.130
st	5.120
St	5.120
August	5.120
November	5.120
Mitte	5.120
ST	5.120
sowohl	5.120
Bilder	5.120
dachte	5.120
wahrscheinlich	5.120
glauben	5.120
Glauben	5.120
bilder	5.120
mitte	5.120
Sowohl	5.120
Wahrscheinlich	5.120
P	5.110
Z	5.110
p	5.110
z	5.110
per	5.110
April	5.110
raum	5.110
System	5.110
insbesondere	5.110
Raum	5.110
Freund	5.110
system	5.110
Per	5.110
Peter	5.110
einigen	5.110
Frankfurt	5.110
spricht	5.110
freund	5.110
deiner	5.110
Insbesondere	5.110
PER	5.110
peter	5.110
Juni	5.100
Oktober	5.100
Juli	5.100
gemeinsam	5.100
New	5.100
anderem	5.100
erreicht	5.100
setzen	5.100
schaffen	5.100
versucht	5.100
links	5.100
new	5.100
Suche	5.100
Gemeinsam	5.100
Mach	5.100
bekommt	5.100
Links	5.100
mach	5.100
suche	5.100
Schaffen	5.100
Setzen	5.100
GEMEINSAM	5.100
juni	5.100
F	5.090
f	5.090
falls	5.090
Nr	5.090
Rahmen	5.090
Rechts	5.090
Einsatz	5.090
Schweiz	5.090
ihres	5.090
bedeutet	5.090
gleichzeitig	5.090
rechts	5.090
nr	5.090
welches	5.090
Sachen	5.090
habt	5.090
einsatz	5.090
Falls	5.090
Gleichzeitig	5.090
rahmen	5.090
Ihres	5.090
sachen	5.090
Habt	5.090
NR	5.090
Welches	5.090
RECHTS	5.090
grosser	5.090
schweiz	5.090
zahl	5.080
genommen	5.080
Zahl	5.080
Sommer	5.080
Titel	5.080
zehn	5.080
Tochter	5.080
Michael	5.080
unseren	5.080
Wohnung	5.080
Job	5.080
Stunde	5.080
titel	5.080
sex	5.080
Sex	5.080
hoffe	5.080
wohnung	5.080
Zehn	5.080
stunde	5.080
liess	5.080
job	5.080
sommer	5.080
ZAHL	5.080
weise	5.070
Kunst	5.070
Mitarbeiter	5.070
handelt	5.070
Weise	5.070
kennen	5.070
verloren	5.070
sah	5.070
Sprache	5.070
sprache	5.070
zumindest	5.070
sorgen	5.070
kunst	5.070
Sorgen	5.070
mitarbeiter	5.070
Zumindest	5.070
Sah	5.070
Kennen	5.070
G	5.060
g	5.060
Band	5.060
hinaus	5.060
Meter	5.060
Bad	5.060
Sicherheit	5.060
Spieler	5.060
spieler	5.060
gebracht	5.060
mindestens	5.060
band	5.060
Fehler	5.060
Hallo	5.060
Chance	5.060
Menge	5.060
bad	5.060
musst	5.060
langsam	5.060
meter	5.060
selber	5.060
menge	5.060
sicherheit	5.060
fehler	5.060
Mindestens	5.060
hallo	5.060
Langsam	5.060
chance	5.060
Saison	5.050
km	5.050
ziehen	5.050
verschiedene	5.050
Medien	5.050
gleichen	5.050
weiterhin	5.050
erster	5.050
laufen	5.050
TV	5.050
drauf	5.050
Erster	5.050
saison	5.050
tv	5.050
Verschiedene	5.050
Weiterhin	5.050
medien	5.050
Laufen	5.050
Km	5.050
KM	5.050
Dezember	5.040
bahn	5.040
Bahn	5.040
tragen	5.040
antwort	5.040
seien	5.040
machte	5.040
Vergleich	5.040
Thomas	5.040
Monate	5.040
somit	5.040
Berliner	5.040
vergleich	5.040
Antwort	5.040
Gesicht	5.040
versuchen	5.040
dennoch	5.040
guter	5.040
toll	5.040
Dennoch	5.040
Somit	5.040
gesicht	5.040
Toll	5.040
Tragen	5.040
Versuchen	5.040
Seien	5.040
Guter	5.040
monate	5.040
Gemeinde	5.030
Januar	5.030
Jahres	5.030
Entscheidung	5.030
Herz	5.030
jeweils	5.030
vorher	5.030
gemeinde	5.030
nutzen	5.030
Stuttgart	5.030
welcher	5.030
Siehe	5.030
siehe	5.030
Sinn	5.030
Gedanken	5.030
sucht	5.030
sinn	5.030
gutes	5.030
jahres	5.030
Nutzen	5.030
Gutes	5.030
herz	5.030
entscheidung	5.030
Sucht	5.030
Welcher	5.030
Vorher	5.030
gedanken	5.030
nen	5.020
la	5.020
Daten	5.020
Kultur	5.020
Luft	5.020
La	5.020
bereit	5.020
Reihe	5.020
fertig	5.020
Interesse	5.020
Foto	5.020
kultur	5.020
Stimme	5.020
daten	5.020
falsch	5.020
Fertig	5.020
deinem	5.020
Bereit	5.020
reihe	5.020
luft	5.020
foto	5.020
LA	5.020
stimme	5.020
NEN	5.020
Falsch	5.020
interesse	5.020
Februar	5.010
Region	5.010
wirtschaft	5.010
heraus	5.010
Informationen	5.010
Frankreich	5.010
Sonntag	5.010
Boden	5.010
Wirtschaft	5.010
erreichen	5.010
Bruder	5.010
setzt	5.010
neuer	5.010
Situation	5.010
region	5.010
Heraus	5.010
Opfer	5.010
Kritik	5.010
unten	5.010
warten	5.010
Schwarz	5.010
seid	5.010
richtige	5.010
kennt	5.010
schwarz	5.010
boden	5.010
passt	5.010
manche	5.010
Neuer	5.010
opfer	5.010
Manche	5.010
nochmal	5.010
informationen	5.010
situation	5.010
Erreichen	5.010
kritik	5.010
Warten	5.010
bruder	5.010
Seid	5.010
WIRTSCHAFT	5.010
Richtige	5.010
frankreich	5.010
Fussball	5.010
sonntag	5.010
Unten	5.010
fussball	5.010
Verein	5.000
punkt	5.000
kreis	5.000
Kreis	5.000
verein	5.000
Mitglieder	5.000
verwendet	5.000
deutscher	5.000
kamen	5.000
hohen	5.000
Typ	5.000
zeiten	5.000
Firma	5.000
Punkt	5.000
darin	5.000
lass	5.000
anderer	5.000
Nachrichten	5.000
gewinnen	5.000
kleiner	5.000
typ	5.000
Zeiten	5.000
geschrieben	5.000
Rede	5.000
Lass	5.000
gedacht	5.000
Hohen	5.000
mitglieder	5.000
nachrichten	5.000
Deutscher	5.000
rede	5.000
firma	5.000
Darin	5.000
Kleiner	5.000
Geschrieben	5.000
Kamen	5.000
Gewinnen	5.000
Staat	4.990
gestellt	4.990
offen	4.990
Markt	4.990
licht	4.990
markt	4.990
Regel	4.990
staat	4.990
Beginn	4.990
Ausbildung	4.990
regel	4.990
beispielsweise	4.990
Licht	4.990
Ergebnis	4.990
Russland	4.990
teilweise	4.990
Kindern	4.990
politische	4.990
rechte	4.990
unserem	4.990
Monat	4.990
Politiker	4.990
Rechte	4.990
solchen	4.990
weder	4.990
mittlerweile	4.990
Offen	4.990
ausbildung	4.990
Freundin	4.990
kenne	4.990
beginn	4.990
eure	4.990
deswegen	4.990
monat	4.990
Deswegen	4.990
Mittlerweile	4.990
Eure	4.990
politiker	4.990
ergebnis	4.990
russland	4.990
Politische	4.990
Weder	4.990
Beispielsweise	4.990
kindern	4.990
Teilweise	4.990
MARKT	4.990
acht	4.980
reicht	4.980
Programm	4.980
FC	4.980
Bedeutung	4.980
folgenden	4.980
sieben	4.980
lag	4.980
zuvor	4.980
Verbindung	4.980
Martin	4.980
selten	4.980
Text	4.980
programm	4.980
Zeitung	4.980
unterwegs	4.980
text	4.980
gefallen	4.980
fc	4.980
unbedingt	4.980
zeitung	4.980
Lag	4.980
Sieben	4.980
verbindung	4.980
wenigstens	4.980
Acht	4.980
Zuvor	4.980
Gefallen	4.980
Reicht	4.980
Folgenden	4.980
Selten	4.980
ACHT	4.980
sowas	4.980
Wenigstens	4.980
Sport	4.970
sport	4.970
Projekt	4.970
zimmer	4.970
nahm	4.970
Zimmer	4.970
Kraft	4.970
Kampf	4.970
kraft	4.970
politischen	4.970
indem	4.970
Tat	4.970
hohe	4.970
Punkte	4.970
Monaten	4.970
kampf	4.970
punkte	4.970
Erfahrung	4.970
Okay	4.970
Grad	4.970
zuerst	4.970
eins	4.970
mache	4.970
grad	4.970
funktioniert	4.970
okay	4.970
projekt	4.970
tat	4.970
Ahnung	4.970
Zuerst	4.970
Eins	4.970
Hohe	4.970
monaten	4.970
Indem	4.970
Politischen	4.970
ahnung	4.970
erfahrung	4.970
druck	4.960
Druck	4.960
entfernt	4.960
Liste	4.960
Hans	4.960
lediglich	4.960
Herren	4.960
Stimmen	4.960
liste	4.960
Wochenende	4.960
stimmen	4.960
Facebook	4.960
fehlt	4.960
genauso	4.960
alleine	4.960
soweit	4.960
herren	4.960
schauen	4.960
hans	4.960
Soweit	4.960
Schauen	4.960
Lediglich	4.960
facebook	4.960
wochenende	4.960
Genauso	4.960
on	4.950
staaten	4.950
bietet	4.950
ON	4.950
Staaten	4.950
Kunden	4.950
On	4.950
dritten	4.950
fallen	4.950
schau	4.950
verlassen	4.950
wenige	4.950
